id	type	longitude	latitude	elevation
5106	136	-97.7388	30.2788	162.4000396728516
5107	136	-97.7395	30.2769	0.0
5135	136	-97.7514	30.2769	0.0
5143	136	-97.7305	30.2786	0.0
5151	136	-97.743	30.2779	0.0
5152	136	-97.7433	30.2769	0.0
5178	136	-97.7466	30.2779	0.0
5188	136	-97.7412	30.2795	0.0
5189	136	-97.7419	30.2776	0.0
5197	136	-97.7322	30.279	0.0
5198	136	-97.7332	30.2772	0.0
5208	136	-97.7507	30.2786	0.0
5210	136	-97.7345	30.2796	0.0
5211	136	-97.736	30.2759	0.0
5212	136	-97.7474	30.2758	0.0
5214	136	-97.7364	30.2781	0.0
5215	136	-97.7371	30.2762	0.0
5220	136	-97.7452	30.2785	0.0
5414	136	-97.7473	30.2662	0.0
5431	136	-97.7463	30.2755	0.0
5452	136	-97.7469	30.2641	0.0
5453	136	-97.748	30.2644	0.0
5454	136	-97.7466	30.2681	0.0
5455	136	-97.7452	30.2718	0.0
5456	136	-97.7485	30.2727	0.0
5458	136	-97.7477	30.2684	0.0
5464	136	-97.7463	30.269	0.0
5465	136	-97.7495	30.2699	0.0
5469	136	-97.7455	30.2609	0.0
5471	136	-97.7459	30.27	0.0
5544	136	-97.7546	30.2703	0.0
5545	136	-97.7615	30.2694	0.0
5551	136	-97.7487	30.2611	0.0
5553	136	-97.7571	30.2645	0.0
5570	136	-97.7532	30.2697	0.0
5571	136	-97.7538	30.2685	0.0
5572	136	-97.7571	30.267	0.0
5573	136	-97.7528	30.2739	0.0
5574	136	-97.754	30.2715	0.0
5576	136	-97.7499	30.269	0.0
5577	136	-97.7557	30.2678	0.0
5579	136	-97.751	30.2652	0.0
5581	136	-97.751	30.2693	0.0
5582	136	-97.7487	30.2656	0.0
5583	136	-97.7491	30.2647	0.0
5584	136	-97.7491	30.2678	0.0
5585	136	-97.7502	30.2681	0.0
5586	136	-97.7484	30.2761	0.0
5587	136	-97.7482	30.2737	0.0
5588	136	-97.7492	30.2709	0.0
5589	136	-97.7495	30.2701	0.0
5654	136	-97.7388	30.2618	0.0
5655	136	-97.7393	30.2604	0.0
5659	136	-97.7368	30.2612	0.0
5685	136	-97.7446	30.2634	0.0
5709	136	-97.7333	30.2706	0.0
5710	136	-97.734	30.2687	0.0
5711	136	-97.7387	30.2721	0.0
5712	136	-97.739	30.2711	0.0
5713	136	-97.7404	30.2705	0.0
5714	136	-97.7411	30.2686	0.0
5715	136	-97.7397	30.2724	0.0
5716	136	-97.7372	30.2665	0.0
5717	136	-97.7404	30.2674	0.0
5718	136	-97.7418	30.2709	0.0
5719	136	-97.7425	30.269	0.0
5722	136	-97.7379	30.2677	0.0
5723	136	-97.74	30.2683	0.0
5724	136	-97.7362	30.2693	0.0
5725	136	-97.7383	30.2699	0.0
5726	136	-97.7438	30.2693	0.0
5727	136	-97.7393	30.2702	0.0
5728	136	-97.7431	30.2712	0.0
5729	136	-97.7382	30.2637	0.0
5730	136	-97.7386	30.2658	0.0
5731	136	-97.7407	30.2664	0.0
5732	136	-97.7358	30.2702	0.0
5733	136	-97.7375	30.2753	0.0
5737	136	-97.7437	30.2658	0.0
5738	136	-97.7441	30.2646	0.0
5739	136	-97.7418	30.2668	0.0
5740	136	-97.7428	30.2681	0.0
5741	136	-97.7441	30.2684	0.0
5742	136	-97.7432	30.2671	0.0
5743	136	-97.7432	30.263	0.0
5744	136	-97.7421	30.2627	0.0
5745	136	-97.7448	30.2666	0.0
5746	136	-97.7459	30.2638	0.0
5747	136	-97.7414	30.2646	0.0
5748	136	-97.7445	30.2675	0.0
5749	136	-97.7455	30.2678	0.0
5750	136	-97.7435	30.2662	0.0
5751	136	-97.74	30.2621	0.0
5752	136	-97.7415	30.2677	0.0
5753	136	-97.7435	30.2734	0.0
5754	136	-97.7424	30.2731	0.0
5755	136	-97.7446	30.2737	0.0
5756	136	-97.7449	30.2728	0.0
5757	136	-97.7441	30.2748	0.0
5758	136	-97.7411	30.2727	0.0
5759	136	-97.7414	30.2718	0.0
5760	136	-97.7408	30.2773	0.0
5761	136	-97.7347	30.2668	0.0
5762	136	-97.735	30.2659	0.0
5763	136	-97.7354	30.2649	0.0
5764	136	-97.7375	30.2655	0.0
5770	136	-97.7368	30.2674	0.0
5771	136	-97.7373	30.2663	0.0
5772	136	-97.7328	30.2718	0.0
5773	136	-97.735	30.2723	0.0
5777	136	-97.735	30.2739	0.0
5778	136	-97.7349	30.2756	0.0
5779	136	-97.7354	30.2712	0.0
5780	136	-97.7318	30.2748	0.0
5782	136	-97.7382	30.2732	0.0
5784	136	-97.7372	30.2729	0.0
5788	136	-97.7365	30.2715	0.0
5789	136	-97.7376	30.2718	0.0
6144	136	-97.7447	30.2879	0.0
6145	136	-97.7478	30.2882	0.0
6146	136	-97.7452	30.2827	0.0
6147	136	-97.7483	30.2836	0.0
6166	136	-97.7452	30.2966	0.0
6167	136	-97.7485	30.2981	0.0
6169	136	-97.7462	30.3002	0.0
6174	136	-97.7449	30.2853	0.0
6175	136	-97.7481	30.2855	0.0
6183	136	-97.7444	30.2907	0.0
6184	136	-97.7475	30.2909	0.0
6188	136	-97.7499	30.2917	0.0
6191	136	-97.7462	30.2788	0.0
6230	136	-97.7528	30.2885	0.0
6231	136	-97.7521	30.2836	0.0
6232	136	-97.7506	30.28	0.0
6234	136	-97.7563	30.2895	0.0
6236	136	-97.7498	30.2839	0.0
6304	136	-97.7428	30.2954	0.0
6305	136	-97.7412	30.292	0.0
6307	136	-97.733	30.2937	0.0
6311	136	-97.728	30.2832	0.0
6312	136	-97.7307	30.285	0.0
6315	136	-97.7277	30.284	0.0
6318	136	-97.736	30.2932	0.0
6319	136	-97.7375	30.2943	0.0
6320	136	-97.7439	30.2959	0.0
6322	136	-97.7303	30.2802	0.0
6326	136	-97.7291	30.2884	0.0
6327	136	-97.7298	30.2889	0.0
6328	136	-97.7347	30.2893	0.0
6332	136	-97.7381	30.2807	0.0
6333	136	-97.7437	30.2879	0.0
6334	136	-97.7378	30.2917	0.0
6335	136	-97.7416	30.2877	0.0
6336	136	-97.7418	30.285	0.0
6337	136	-97.7394	30.281	0.0
6338	136	-97.7374	30.2835	0.0
6339	136	-97.7419	30.2838	0.0
6340	136	-97.738	30.2896	0.0
6341	136	-97.7414	30.2898	0.0
6342	136	-97.7335	30.2871	0.0
6343	136	-97.7337	30.2853	0.0
6344	136	-97.737	30.2895	0.0
6345	136	-97.7423	30.2797	0.0
6346	136	-97.7419	30.2817	0.0
6347	136	-97.7432	30.2821	0.0
6348	136	-97.7451	30.284	0.0
6349	136	-97.7405	30.2813	0.0
6350	136	-97.7448	30.2825	0.0
6351	136	-97.7456	30.2807	0.0
6353	136	-97.7341	30.2832	0.0
6354	136	-97.7357	30.28	0.0
6355	136	-97.7343	30.2804	0.0
6356	136	-97.7347	30.291	0.0
6357	136	-97.7368	30.2895	0.0
6359	136	-97.7396	30.3003	0.0
6361	136	-97.7384	30.2947	0.0
6362	136	-97.7421	30.2965	0.0
6364	136	-97.7447	30.3027	0.0
6376	136	-97.7275	30.2831	0.0
6378	136	-97.7267	30.2872	0.0
6399	136	-97.727	30.2914	0.0
10457	136	-97.7421	30.2658	0.0
10458	136	-97.7411	30.2655	0.0
10459	136	-97.74	30.2652	0.0
10460	136	-97.7411	30.2624	0.0
10461	136	-97.7397	30.2661	0.0
10486	136	-97.7478	30.2746	0.0
10487	136	-97.7484	30.2665	0.0
10488	136	-97.7452	30.2656	0.0
10489	136	-97.7425	30.2649	0.0
10490	136	-97.7404	30.2643	0.0
10491	136	-97.7439	30.2652	0.0
10601	136	-97.7529	30.2711	0.0
10602	136	-97.7495	30.2731	0.0
10606	136	-97.7472	30.2832	0.0
10607	136	-97.7513	30.2828	0.0
10609	136	-97.7368	30.2803	0.0
10610	136	-97.7353	30.2778	0.0
10611	136	-97.7459	30.2669	0.0
10777	136	-97.747	30.2672	0.0
10778	136	-97.7481	30.2675	0.0
10782	136	-97.7452	30.2687	0.0
11030	136	-97.7389	30.2649	0.0
11031	136	-97.7378	30.2646	0.0
11044	136	-97.7477	30.2894	0.0
11080	136	-97.7431	30.2744	0.0
11081	136	-97.7426	30.2756	0.0
11082	136	-97.7423	30.2766	0.0
11084	136	-97.7459	30.2797	0.0
11085	136	-97.7448	30.2866	0.0
11086	136	-97.7513	30.2884	0.0
11121	136	-97.7456	30.3013	0.0
11206	136	-97.7393	30.2897	0.0
11207	136	-97.7315	30.2893	0.0
11208	136	-97.73	30.2874	0.0
11229	136	-97.7357	30.2972	0.0
11272	136	-97.7409	30.2984	0.0
11273	136	-97.7413	30.2907	0.0
11274	136	-97.7417	30.2861	0.0
11298	136	-97.7326	30.2852	0.0
11299	136	-97.7328	30.2782	0.0
11308	136	-97.7323	30.2852	0.0
11337	136	-97.7406	30.2837	0.0
11355	136	-97.7409	30.2837	0.0
11381	136	-97.7421	30.2699	0.0
11382	136	-97.7416	30.2785	0.0
11384	136	-97.7407	30.2633	0.0
11483	136	-97.7543	30.2779	0.0
11484	136	-97.7495	30.2763	0.0
11501	136	-97.727	30.2863	0.0
11502	136	-97.7274	30.2849	0.0
11504	136	-97.7341	30.2919	0.0
11509	136	-97.7271	30.2861	0.0
11531	136	-97.747	30.2768	0.0
11532	136	-97.7469	30.277	0.0
11533	136	-97.7365	30.2747	0.0
11536	136	-97.7558	30.2708	0.0
11537	136	-97.7357	30.2671	0.0
11574	136	-97.7333	30.2817	0.0
11600	136	-97.7319	30.2851	0.0
11605	136	-97.7522	30.2752	0.0
11637	136	-97.7339	30.2922	0.0
11642	136	-97.7393	30.2671	0.0
11713	136	-97.7412	30.2978	0.0
11743	136	-97.7401	30.2897	0.0
11756	136	-97.7524	30.2657	0.0
11770	136	-97.7483	30.2696	0.0
11786	136	-97.7578	30.273	0.0
11866	136	-97.7523	30.2656	0.0
11966	136	-97.751	30.2884	0.0
12010	136	-97.7463	30.2971	0.0
12022	136	-97.7369	30.2953	0.0
12036	136	-97.7366	30.2918	0.0
12043	136	-97.7366	30.2916	0.0
12044	136	-97.7363	30.2963	0.0
12060	136	-97.7476	30.2977	0.0
12061	136	-97.7441	30.2937	0.0
12064	136	-97.744	30.295	0.0
12065	136	-97.7443	30.292	0.0
12078	136	-97.7311	30.2795	0.0
12098	136	-97.7342	30.2708	0.0
12135	136	-97.7464	30.2908	0.0
12136	136	-97.7479	30.2871	0.0
12137	136	-97.7467	30.2854	0.0
12149	136	-97.7523	30.2749	0.0
12261	136	-97.7382	30.2668	0.0
12266	136	-97.744	30.2839	0.0
12282	136	-97.7427	30.2722	0.0
12668	136	-97.7477	30.2636	0.0
12669	136	-97.7462	30.2659	0.0
12670	136	-97.7448	30.2697	0.0
12671	136	-97.7441	30.2715	0.0
12672	136	-97.7343	30.2677	0.0
12734	136	-97.7408	30.2696	0.0
12735	136	-97.7445	30.2706	0.0
12736	136	-97.752	30.2737	0.0
12737	136	-97.7534	30.2727	0.0
13009	136	-97.7365	30.2683	0.0
13010	136	-97.7397	30.2692	0.0
13011	136	-97.7372	30.2696	0.0
13012	136	-97.7369	30.2705	0.0
13013	136	-97.739	30.268	0.0
13015	136	-97.7387	30.269	0.0
13016	136	-97.7379	30.2708	0.0
13017	136	-97.7376	30.2687	0.0
13018	136	-97.7434	30.2703	0.0
13019	136	-97.7456	30.2709	0.0
13020	136	-97.7401	30.2714	0.0
13021	136	-97.7438	30.2725	0.0
13022	136	-97.7429	30.2732	0.0
13023	136	-97.742	30.2755	0.0
13024	136	-97.7437	30.2759	0.0
13025	136	-97.7448	30.2763	0.0
13026	136	-97.7459	30.2765	0.0
13028	136	-97.7425	30.2743	0.0
13029	136	-97.7413	30.2763	0.0
13030	136	-97.7404	30.2783	0.0
13031	136	-97.7401	30.2792	0.0
13032	136	-97.7398	30.28	0.0
13033	136	-97.7368	30.2772	0.0
13034	136	-97.7392	30.2779	0.0
13035	136	-97.7416	30.2785	0.0
13036	136	-97.7426	30.2789	0.0
13037	136	-97.735	30.2787	0.0
13038	136	-97.7361	30.279	0.0
13039	136	-97.7385	30.2797	0.0
13040	136	-97.7409	30.2803	0.0
13041	136	-97.742	30.2806	0.0
13042	136	-97.7444	30.2772	0.0
13043	136	-97.7455	30.2776	0.0
13044	136	-97.7437	30.2792	0.0
13045	136	-97.7448	30.2795	0.0
13046	136	-97.7471	30.28	0.0
13047	136	-97.7482	30.2803	0.0
13048	136	-97.7434	30.2801	0.0
13049	136	-97.7445	30.2804	0.0
13050	136	-97.7467	30.281	0.0
13051	136	-97.7479	30.2813	0.0
13052	136	-97.749	30.2816	0.0
13053	136	-97.7431	30.281	0.0
13054	136	-97.7442	30.2813	0.0
13055	136	-97.7452	30.2815	0.0
13056	136	-97.7464	30.2819	0.0
13057	136	-97.7481	30.2813	0.0
13058	136	-97.7477	30.2822	0.0
13059	136	-97.7486	30.2825	0.0
13060	136	-97.7427	30.2819	0.0
13061	136	-97.7441	30.2782	0.0
13062	136	-97.7452	30.2751	0.0
13063	136	-97.7437	30.2822	0.0
13064	136	-97.7461	30.2829	0.0
13065	136	-97.7474	30.2792	0.0
13066	136	-97.7477	30.2781	0.0
13067	136	-97.7481	30.2771	0.0
13068	136	-97.7479	30.2777	0.0
13069	136	-97.7468	30.2774	0.0
13070	136	-97.7456	30.274	0.0
13071	136	-97.7459	30.2731	0.0
13072	136	-97.7463	30.2721	0.0
