id	type	origin	destination	demand
1	111	132097	226307	0.524249
2	111	132097	200386	1.048498
3	111	132097	201410	2.6212470000000003
4	111	132097	200385	6.815247
5	111	132097	201409	4.718246
6	111	132097	200384	27.78521
7	111	132097	201408	9.960749
8	111	132097	201413	24.639719999999997
9	111	132097	233099	9.96075
10	111	132097	225545	15.032312
11	111	132097	225673	0.7729233
12	111	132097	233096	0.524249
13	111	132097	200403	3.89727
14	111	132097	200849	2.227014
15	111	132097	225553	12.805309999999999
16	111	132097	200407	1.572749
17	111	132097	200406	13.106248999999998
18	111	132097	200405	20.599850000000004
19	111	132097	200404	1.6702620000000001
20	111	132097	200345	0.524249
21	111	132097	229913	1.2789869999999999
22	111	132097	226393	9.778178
23	111	132097	200344	1.048498
24	111	132097	225698	1.729574
25	111	132097	200359	1.572749
26	111	132097	200358	3.1455
27	111	132097	200356	2.096996
28	111	132097	231786	35.07539
29	111	132097	200362	8.388
30	111	132097	200361	1.572747
31	111	132097	200360	1.572747
32	111	132097	200375	2.6212489999999997
33	111	132097	200374	2.621245
34	111	132097	200373	2.6212470000000003
35	111	132097	200372	3.340518
36	111	132097	231483	3.6697480000000002
37	111	132097	200379	55.570370000000004
38	111	132097	200378	32.503460000000004
39	111	132097	226234	2.096998
40	111	132097	200377	34.0762
41	111	132097	200376	7.3395
42	111	132097	200383	45.609688999999996
43	111	132097	200382	22.542729
44	111	132097	225469	8.99611
45	111	132097	200381	42.98843
46	111	132097	200380	16.25175
47	111	100356	233099	25.73682
48	111	100356	225545	5.17722
49	111	100356	225673	0.124665
50	111	100356	225551	0.748972
51	111	100356	232077	3.900062
52	111	100356	225553	4.165649999999999
53	111	100356	200849	2.0
54	111	100356	229913	1.7364970000000002
55	111	100356	200345	2.0
56	111	100356	200344	3.0
57	111	100356	225698	2.05474
58	111	100356	233122	7.0
59	111	100356	232097	1.55831
60	111	100356	200359	2.0
61	111	100356	200358	1.0
62	111	100356	200362	4.0
63	111	100356	200361	2.0
64	111	100356	200360	2.0
65	111	100356	200375	1.0
66	111	100356	226359	21.304319999999997
67	111	100356	200374	1.0
68	111	100356	200373	1.0
69	111	100356	200372	1.0
70	111	100356	200379	6.0
71	111	100356	200378	3.0
72	111	100356	226234	10.07342
73	111	100356	200377	4.0
74	111	100356	200376	3.0
75	111	100356	200383	6.0
76	111	100356	200382	2.0
77	111	100356	200381	7.0
78	111	100356	225469	1.61654
79	111	100356	200380	2.0
80	111	100356	226364	33.25001
81	111	100356	201410	1.0
82	111	100356	200386	1.0
83	111	100356	201409	1.0
84	111	100356	200385	1.0
85	111	100356	201408	2.0
86	111	100356	200384	2.0
87	111	100356	201413	5.0
88	111	100356	200403	1.0
89	111	100356	226386	3.2229
90	111	100356	230615	0.806606
91	111	100356	200407	1.0
92	111	100356	200406	4.0
93	111	100356	200405	4.0
94	111	100356	200404	1.0
95	111	100356	226393	0.464659
96	111	100356	230616	3.41008
97	111	100356	231786	2.5819530000000004
98	111	100356	231791	17.8149
99	111	100356	231551	0.933691
100	111	100359	201410	1.0
101	111	100359	201409	1.0
102	111	100359	200385	1.0
103	111	100359	201408	1.0
104	111	100359	200384	1.0
105	111	100359	201413	3.0
106	111	100359	233099	19.30263
107	111	100359	225545	2.58861
108	111	100359	225673	0.099732
109	111	100359	225551	0.5617289999999999
110	111	100359	200403	1.0
